#Selection name: Selection 1
#Area (µm^2): 741180.83
Cell ID,Cluster,Transcripts,Area (µm^2)
dodipbeo-1,Cluster 4,10,82.96
doegfejn-1,Cluster 1,34,207.71
dodingfo-1,Cluster 20,10,141.89
gncomhbk-1,Cluster 1,19,158.79
dodjcjnp-1,Cluster 1,22,130.27
dodmahld-1,Cluster 4,2,27.87
gndjoagj-1,Cluster 1,20,99.05
gndbfgmd-1,Cluster 1,19,143.38
gnbfegng-1,Cluster 1,7,58.20
gndgeilo-1,Cluster 18,18,95.78
gnalmbem-1,Cluster 1,30,252.73
dodihefn-1,Cluster 1,5,140.36
gndhhmgl-1,Cluster 20,22,173.10
dodlbdgj-1,Cluster 20,17,65.10
doeknale-1,Cluster 1,10,69.32
eaflfpfe-1,Cluster 20,6,29.61
eafiigka-1,Cluster 4,5,26.07
eaflgfmp-1,Cluster 1,9,153.34
eaenfmmc-1,Cluster 20,5,63.23
eafjplco-1,Cluster 4,0,7.72
eafghiji-1,Cluster 4,2,40.07
eafihdfp-1,Cluster 18,9,90.21
doelcnph-1,Cluster 1,46,370.11
eafmbjmb-1,Cluster 18,7,63.01
eaenpapo-1,Cluster 1,41,315.12
eafmclkl-1,Cluster 4,11,54.77
eafkkpnl-1,Cluster 4,4,15.46
eafjlhic-1,Cluster 4,7,53.25
eafjckhi-1,Cluster 4,2,33.01
eaenmaok-1,Cluster 1,3,33.54
eaeljflp-1,Cluster 13,19,96.05
eacpjbmj-1,Cluster 13,25,108.84
eacpnlee-1,Cluster 1,28,112.77
eadbbkce-1,Cluster 1,7,34.67
eacplbff-1,Cluster 1,20,77.12
eaegmdll-1,Cluster 13,15,48.77
eadglklb-1,Cluster 13,12,113.97
eadgbema-1,Cluster 13,16,115.38
eadifknh-1,Cluster 1,15,55.06
eadapcmo-1,Cluster 1,36,127.14
eadaimop-1,Cluster 1,34,134.53
eadbmdeh-1,Cluster 5,11,92.98
eadflmln-1,Cluster 13,17,172.54
eadhjbkh-1,Cluster 13,22,166.72
eadameda-1,Cluster 1,9,26.36
eadiilcf-1,Cluster 1,8,77.66
eadglllc-1,Cluster 13,24,161.87
eadeclnp-1,Cluster 1,11,115.87
dodmidbk-1,Cluster 1,28,189.48
ffeajhld-1,Cluster 1,46,261.91
dodlobmn-1,Cluster 1,21,139.19
ffeagdoh-1,Cluster 1,21,147.46
eaddpiof-1,Cluster 1,20,112.36
eaejmcia-1,Cluster 1,11,61.70
eaddohbm-1,Cluster 13,43,269.08
ffebeghc-1,Cluster 1,45,263.03
eaeoejkb-1,Cluster 1,22,114.80
eaennhci-1,Cluster 19,4,46.03
golphinn-1,Cluster 1,47,390.70
ffdnadam-1,Cluster 1,10,113.84
gnbhdmpm-1,Cluster 1,45,228.03
ffdnfihi-1,Cluster 1,39,194.98
ffdnbmop-1,Cluster 1,15,89.47
ffdnckca-1,Cluster 1,31,153.83
eaekabif-1,Cluster 1,51,266.35
ffeakjnc-1,Cluster 1,12,77.47
eaejeopi-1,Cluster 1,10,115.04
eachjikp-1,Cluster 15,11,31.77
eadegkib-1,Cluster 1,9,63.98
eachapde-1,Cluster 2,8,71.96
eachppbd-1,Cluster 2,11,92.35
eacpdbih-1,Cluster 23,16,92.66
eadbabfn-1,Cluster 2,6,68.34
eacoghde-1,Cluster 5,25,136.53
eaddmnbp-1,Cluster 1,51,268.11
eackfagm-1,Cluster 14,11,142.04
eaconmnb-1,Cluster 1,54,310.82
eacikjdn-1,Cluster 16,25,96.59
eacjipga-1,Cluster 21,8,146.83
eadfambi-1,Cluster 18,13,88.78
eacjcopo-1,Cluster 15,17,104.45
eadengep-1,Cluster 18,11,52.88
eadfhooo-1,Cluster 3,14,73.64
eackiijp-1,Cluster 21,6,132.18
eadecnal-1,Cluster 3,24,108.98
gnanhmpf-1,Cluster 18,22,77.42
gndkljap-1,Cluster 22,19,83.43
gndkoljm-1,Cluster 7,4,69.40
gnfblaif-1,Cluster 7,35,186.53
gnenjejg-1,Cluster 16,45,171.32
gnehckib-1,Cluster 13,35,208.96
gnfbeclb-1,Cluster 5,10,48.74
gnfaoljj-1,Cluster 6,15,72.50
gnenbjpd-1,Cluster 5,18,74.98
gnehnhck-1,Cluster 13,34,154.26
gnfaiijp-1,Cluster 22,14,96.37
gnfallkh-1,Cluster 6,17,90.55
gneolddl-1,Cluster 15,15,55.47
gneigjah-1,Cluster 1,28,189.09
gneiognd-1,Cluster 19,16,68.46
gnenbigf-1,Cluster 2,12,86.34
gnfbdeoj-1,Cluster 1,33,157.88
gneoabcf-1,Cluster 9,12,128.12
gneiembf-1,Cluster 13,16,102.68
gnehbomj-1,Cluster 13,19,150.39
gnegppmm-1,Cluster 1,40,189.94
gnfbegkj-1,Cluster 11,19,104.82
gnccdgpj-1,Cluster 13,9,68.76
gnalecil-1,Cluster 18,35,139.00
gndiaaap-1,Cluster 16,35,112.68
gnalnpoo-1,Cluster 13,22,85.62
gnalkbcd-1,Cluster 18,26,107.37
gndfdlpl-1,Cluster 1,35,138.73
gndihdge-1,Cluster 15,19,93.32
gncnkdoo-1,Cluster 18,47,197.71
